Name,0,1,2,3,4,5
Carlos,"Orange Spice Muffins Recipe ,Broccoli Cornbread Recipe ","Coconut Poke Cake Recipe ,Chocolate Ganache Icing Recipe ",Banana Nut Bread Baked ,Popcorn Cake II Recipe ,"Fondant Frosting Recipe ,Instant Russian Tea Recipe ,Amazing Corn Cake Recipe ",Indian Naan II Recipe 
Mariana,Basic Chicken Salad Recipe ,Pumpernickel Bread II Recipe ,"Honey Oatmeal Bread I Recipe,Oatmeal Soda Bread Recipe"," ",Broccoli Cornbread Recipe ,Fudgy Chocolate Chip Muffins Recipe 
Filipe," ",Basic Chicken Salad Recipe ," ",Fudgy Chocolate Chip Muffins Recipe ,"Southern Biscuits with Mayonnaise Recipe ,Paximade Recipe ",Easy Raisin Cake Recipe 
Rita,"Southern Biscuits with Mayonnaise Recipe ,Fudgy Chocolate Chip Muffins Recipe ,Pumpernickel Bread II Recipe "," ", " ", Broccoli Cornbread Recipe ,Fudgy Chocolate Chip Muffins Recipe ,Southern Biscuits with Mayonnaise Recipe 
Hugo," ",Fudgy Chocolate Chip Muffins Recipe ," "," ","Southern Biscuits with Mayonnaise Recipe ,Basic Chicken Salad Recipe ,Pumpernickel Bread II Recipe ", Indian Naan II Recipe 
Pedro,Basic Chicken Salad Recipe , " ",Fudgy Chocolate Chip Muffins Recipe ,Broccoli Cornbread Recipe ," ",Pumpernickel Bread II Recipe 
Marta,"Pumpernickel Bread II Recipe ,Fudgy Chocolate Chip Muffins Recipe "," "," ",Broccoli Cornbread Recipe ,Southern Biscuits with Mayonnaise Recipe ," "
Luis," "," "," ",Holiday Red Punch Recipe ,"Hot Spiced Cider Recipe ,Instant Russian Tea Recipe ,Snow Ice Cream II Recipe ",Curry Chicken Salad Recipe 
Diogo,"Sparkling Punch Recipe ,Holiday Red Punch Recipe "," "," "," ",Instant Russian Tea Recipe ,Basic Chicken Salad Recipe 
Alex," ","Romaine with Garlic Lemon Anchovy Dressing Recipe ,Fudgy Chocolate Chip Muffins Recipe "," ",Indian Naan II Recipe ,Orange Spice Muffins Recipe ,Fondant Frosting Recipe 
Kiko," "," ","Cream Cake Recipe ,Sparkling Punch Recipe "," ",Fudgy Chocolate Chip Muffins Recipe , Hot Spiced Cider Recipe
Joao,Birthday Party Cake Recipe ,Chocolate Banana Cake Recipe ,"Pumpkin Cake I Recipe ,Almond Filling Recipe ,Matrimonial Bliss Recipe ,Banana Pudding Cake Recipe ",Holiday Red Punch Recipe ,Instant Russian Tea Recipe ,Curry Chicken Salad Recipe 
